genre,question_id,n_seams,severity_sum,severity_mean,severity_max
novel,ca4b98f5_1,2,0.9070322101557255,0.4535161050778628,0.4585803410175374
novel,ca4b98f5_2,7,3.989295828944876,0.5698994041349822,0.7593131500569235
novel,ca4b98f5_0,2,1.0278121699179907,0.5139060849589954,0.5334444835913077
novel,ca4b98f5_3,0,0.0,0.0,0.0
novel,ca4b98f5_8,29,14.236788700736575,0.4909237483012613,0.7985463789311558
novel,ca4b98f5_4,1,0.7985463789311558,0.7985463789311558,0.7985463789311558
novel,ca4b98f5_6,3,1.611401498694835,0.5371338328982783,0.6133333084735952
novel,ca4b98f5_12,1,0.7985463789311558,0.7985463789311558,0.7985463789311558
novel,ca4b98f5_13,8,4.280044075844138,0.5350055094805173,0.7025680875100968
novel,ca4b98f5_10,6,3.360329298853915,0.5600548831423192,0.7053447113009316
novel,ca4b98f5_11,36,18.12348495481151,0.5034301376336531,0.8043843457619214
novel,ca4b98f5_17,6,2.5869208377099393,0.4311534729516565,0.6154614575052716
novel,ca4b98f5_14,9,4.868477591384586,0.5409419545982873,0.7593131500569235
novel,ca4b98f5_16,19,10.370969036706803,0.5458404756161476,0.7985463789311558
novel,ca4b98f5_15,3,1.7489278001590802,0.5829759333863601,0.7053447113009316
caselaw,1,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,5,79,48.414536395835434,0.6128422328586763,0.896673894980104
novel,ca4b98f5_18,13,6.5235034311008215,0.5018079562385247,0.7212576968152261
caselaw,3,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,11,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,7,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,9,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,13,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,15,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,19,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,17,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,21,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,25,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,23,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,27,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,29,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,31,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,33,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,35,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,37,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,41,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,43,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,39,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,45,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,49,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,47,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,51,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,53,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,55,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,57,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,61,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,59,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,63,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,67,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,69,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,65,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,71,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,73,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,75,79,48.414536395835434,0.6128422328586763,0.896673894980104
